"Company","Year","Scope","Category","Value","Unit","Source File"
"Various Companies","Recent","Total","General","5","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2023","Total","General","137","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Total","General","1","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2023","Total","General","5650","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2025","Scope 3","General","100","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2016","Total","General","186000","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2023","Total","Energy","3","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2023","Total","Energy","0.6","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2023","Total","Energy","0.4","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2023","Total","General","625524","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Total","General","570","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Scope 1","General","32846","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2022","Scope 3","Energy","22","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Total","Energy","1000","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Total","Energy","11000","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Total","Waste","11000","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Total","Waste","1000","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Scope 1","General","448","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2023","Scope 2","Direct Emissions","339","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2023","Scope 1","General","134","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2030","Scope 1","General","67","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2024","Scope 1","General","2024","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Scope 1","General","305","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2030","Scope 2","General","2023","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Scope 2","Energy","1000","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2018","Scope 2","Energy","2018","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2023","Scope 2","General","339","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Scope 3","General","305","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2024","Total","General","260","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2024","Total","General","31","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2019","Total","General","30","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Scope 1","General","2040","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2030","Scope 1","General","30","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2030","Total","General","100","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Scope 1","General","2","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Scope 1","Energy","3","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Scope 1","General","3","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2019","Scope 1","General","3","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2019","Total","General","2","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Scope 2","General","185","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2024","Total","General","45","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2023","Total","General","400","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2026","Total","General","405","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2023","Total","General","100","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","2030","Total","General","2040","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","2.5","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","123.1","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","1","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Scope 1","Direct Emissions","107798","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Scope 1","Direct Emissions","96146","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Scope 1","Direct Emissions","203944","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","3.5","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
"Various Companies","Recent","Total","General","11.7","tonnes CO2e","2024-CCEP-Annual-Report_2025.03.21_Interactive.pdf"
